day,blue_pop,red_pop,within_trust,between_trust,food_spawned,food_picked
1,5,7,0.5274193548387097,0.5,300,108
2,7,13,0.5263131313131313,0.5,200,133
3,9,16,0.5199358974358974,0.5,100,151
4,9,15,0.5193386243386243,0.5,100,170
